district,area,zip
Alabama District,SOUTHERN,350
Alabama District,SOUTHERN,351
Alabama District,SOUTHERN,352
Alabama District,SOUTHERN,354
Alabama District,SOUTHERN,355
Alabama District,SOUTHERN,356
Alabama District,SOUTHERN,357
Alabama District,SOUTHERN,358
Alabama District,SOUTHERN,359
Alabama District,SOUTHERN,360
Alabama District,SOUTHERN,361
Alabama District,SOUTHERN,362
Alabama District,SOUTHERN,363
Alabama District,SOUTHERN,364
Alabama District,SOUTHERN,365
Alabama District,SOUTHERN,366
Alabama District,SOUTHERN,367
Alabama District,SOUTHERN,368
Alaska District,WESTERN,995
Alaska District,WESTERN,996
Alaska District,WESTERN,997
Alaska District,WESTERN,998
Alaska District,WESTERN,999
Albany District,NORTHEAST,120
Albany District,NORTHEAST,121
Albany District,NORTHEAST,122
Albany District,NORTHEAST,123
Albany District,NORTHEAST,128
Albany District,NORTHEAST,129
Albany District,NORTHEAST,130
Albany District,NORTHEAST,131
Albany District,NORTHEAST,132
Albany District,NORTHEAST,133
Albany District,NORTHEAST,134
Albany District,NORTHEAST,135
Albany District,NORTHEAST,136
Albany District,NORTHEAST,137
Albany District,NORTHEAST,138
Albany District,NORTHEAST,139
Appalachian District,EASTERN,240
Appalachian District,EASTERN,241
Appalachian District,EASTERN,242
Appalachian District,EASTERN,243
Appalachian District,EASTERN,245
Appalachian District,EASTERN,246
Appalachian District,EASTERN,247
Appalachian District,EASTERN,248
Appalachian District,EASTERN,249
Appalachian District,EASTERN,250
Appalachian District,EASTERN,251
Appalachian District,EASTERN,252
Appalachian District,EASTERN,253
Appalachian District,EASTERN,254
Appalachian District,EASTERN,255
Appalachian District,EASTERN,256
Appalachian District,EASTERN,257
Appalachian District,EASTERN,258
Appalachian District,EASTERN,259
Appalachian District,EASTERN,261
Appalachian District,EASTERN,262
Appalachian District,EASTERN,263
Appalachian District,EASTERN,264
Appalachian District,EASTERN,265
Appalachian District,EASTERN,266
Appalachian District,EASTERN,267
Appalachian District,EASTERN,268
Arizona District,WESTERN,850
Arizona District,WESTERN,851
Arizona District,WESTERN,852
Arizona District,WESTERN,853
Arizona District,WESTERN,855
Arizona District,WESTERN,856
Arizona District,WESTERN,857
Arizona District,WESTERN,859
Arizona District,WESTERN,860
Arizona District,WESTERN,863
Arizona District,WESTERN,864
Arizona District,WESTERN,865
Arizona District,WESTERN,870
Arizona District,WESTERN,871
Arizona District,WESTERN,873
Arizona District,WESTERN,874
Arizona District,WESTERN,875
Arizona District,WESTERN,876
Arizona District,WESTERN,877
Arizona District,WESTERN,878
Arizona District,WESTERN,879
Arizona District,WESTERN,880
Arizona District,WESTERN,881
Arizona District,WESTERN,882
Arizona District,WESTERN,883
Arizona District,WESTERN,884
Arkansas District,SOUTHERN,716
Arkansas District,SOUTHERN,717
Arkansas District,SOUTHERN,718
Arkansas District,SOUTHERN,719
Arkansas District,SOUTHERN,720
Arkansas District,SOUTHERN,721
Arkansas District,SOUTHERN,722
Arkansas District,SOUTHERN,723
Arkansas District,SOUTHERN,724
Arkansas District,SOUTHERN,725
Arkansas District,SOUTHERN,726
Arkansas District,SOUTHERN,727
Arkansas District,SOUTHERN,728
Arkansas District,SOUTHERN,729
Atlanta District,CAPITAL METRO,300
Atlanta District,CAPITAL METRO,301
Atlanta District,CAPITAL METRO,302
Atlanta District,CAPITAL METRO,303
Atlanta District,CAPITAL METRO,305
Atlanta District,CAPITAL METRO,306
Atlanta District,CAPITAL METRO,311
Atlanta District,CAPITAL METRO,399
Baltimore District,CAPITAL METRO,210
Baltimore District,CAPITAL METRO,211
Baltimore District,CAPITAL METRO,212
Baltimore District,CAPITAL METRO,214
Baltimore District,CAPITAL METRO,215
Baltimore District,CAPITAL METRO,216
Baltimore District,CAPITAL METRO,217
Baltimore District,CAPITAL METRO,218
Baltimore District,CAPITAL METRO,219
Bay-Valley District,PACIFIC,939
Bay-Valley District,PACIFIC,945
Bay-Valley District,PACIFIC,946
Bay-Valley District,PACIFIC,947
Bay-Valley District,PACIFIC,948
Bay-Valley District,PACIFIC,950
Bay-Valley District,PACIFIC,951
Capital District,CAPITAL METRO,200
Capital District,CAPITAL METRO,202
Capital District,CAPITAL METRO,203
Capital District,CAPITAL METRO,204
Capital District,CAPITAL METRO,205
Capital District,CAPITAL METRO,206
Capital District,CAPITAL METRO,207
Capital District,CAPITAL METRO,208
Capital District,CAPITAL METRO,209
Caribbean District,NORTHEAST,6
Caribbean District,NORTHEAST,7
Caribbean District,NORTHEAST,8
Caribbean District,NORTHEAST,9
Central Illinois District,GREAT LAKES,601
Central Illinois District,GREAT LAKES,603
Central Illinois District,GREAT LAKES,604
Central Illinois District,GREAT LAKES,605
Central Illinois District,GREAT LAKES,609
Central Illinois District,GREAT LAKES,613
Central Illinois District,GREAT LAKES,614
Central Illinois District,GREAT LAKES,615
Central Illinois District,GREAT LAKES,616
Central Illinois District,GREAT LAKES,617
Central Pennsylvania District,EASTERN,169
Central Pennsylvania District,EASTERN,170
Central Pennsylvania District,EASTERN,171
Central Pennsylvania District,EASTERN,172
Central Pennsylvania District,EASTERN,173
Central Pennsylvania District,EASTERN,174
Central Pennsylvania District,EASTERN,175
Central Pennsylvania District,EASTERN,176
Central Pennsylvania District,EASTERN,177
Central Pennsylvania District,EASTERN,178
Central Pennsylvania District,EASTERN,179
Central Pennsylvania District,EASTERN,180
Central Pennsylvania District,EASTERN,181
Central Pennsylvania District,EASTERN,182
Central Pennsylvania District,EASTERN,183
Central Pennsylvania District,EASTERN,184
Central Pennsylvania District,EASTERN,185
Central Pennsylvania District,EASTERN,186
Central Pennsylvania District,EASTERN,187
Central Pennsylvania District,EASTERN,188
Central Pennsylvania District,EASTERN,195
Central Pennsylvania District,EASTERN,196
Central Plains District,WESTERN,515
Central Plains District,WESTERN,516
Central Plains District,WESTERN,664
Central Plains District,WESTERN,665
Central Plains District,WESTERN,666
Central Plains District,WESTERN,668
Central Plains District,WESTERN,669
Central Plains District,WESTERN,670
Central Plains District,WESTERN,671
Central Plains District,WESTERN,672
Central Plains District,WESTERN,673
Central Plains District,WESTERN,674
Central Plains District,WESTERN,675
Central Plains District,WESTERN,676
Central Plains District,WESTERN,677
Central Plains District,WESTERN,678
Central Plains District,WESTERN,679
Central Plains District,WESTERN,680
Central Plains District,WESTERN,681
Central Plains District,WESTERN,683
Central Plains District,WESTERN,684
Central Plains District,WESTERN,685
Central Plains District,WESTERN,686
Central Plains District,WESTERN,687
Central Plains District,WESTERN,688
Central Plains District,WESTERN,689
Central Plains District,WESTERN,690
Central Plains District,WESTERN,691
Central Plains District,WESTERN,692
Central Plains District,WESTERN,693
Chicago District,GREAT LAKES,606
Chicago District,GREAT LAKES,607
Chicago District,GREAT LAKES,608
Colorado/Wyoming District,WESTERN,800
Colorado/Wyoming District,WESTERN,801
Colorado/Wyoming District,WESTERN,802
Colorado/Wyoming District,WESTERN,803
Colorado/Wyoming District,WESTERN,804
Colorado/Wyoming District,WESTERN,805
Colorado/Wyoming District,WESTERN,806
Colorado/Wyoming District,WESTERN,807
Colorado/Wyoming District,WESTERN,808
Colorado/Wyoming District,WESTERN,809
Colorado/Wyoming District,WESTERN,810
Colorado/Wyoming District,WESTERN,811
Colorado/Wyoming District,WESTERN,812
Colorado/Wyoming District,WESTERN,813
Colorado/Wyoming District,WESTERN,814
Colorado/Wyoming District,WESTERN,815
Colorado/Wyoming District,WESTERN,816
Colorado/Wyoming District,WESTERN,820
Colorado/Wyoming District,WESTERN,821
Colorado/Wyoming District,WESTERN,822
Colorado/Wyoming District,WESTERN,823
Colorado/Wyoming District,WESTERN,824
Colorado/Wyoming District,WESTERN,825
Colorado/Wyoming District,WESTERN,826
Colorado/Wyoming District,WESTERN,827
Colorado/Wyoming District,WESTERN,828
Colorado/Wyoming District,WESTERN,829
Colorado/Wyoming District,WESTERN,830
Colorado/Wyoming District,WESTERN,831
Connecticut Valley District,NORTHEAST,10
Connecticut Valley District,NORTHEAST,11
Connecticut Valley District,NORTHEAST,12
Connecticut Valley District,NORTHEAST,13
Connecticut Valley District,NORTHEAST,27
Connecticut Valley District,NORTHEAST,28
Connecticut Valley District,NORTHEAST,29
Connecticut Valley District,NORTHEAST,60
Connecticut Valley District,NORTHEAST,61
Connecticut Valley District,NORTHEAST,62
Connecticut Valley District,NORTHEAST,63
Connecticut Valley District,NORTHEAST,64
Connecticut Valley District,NORTHEAST,65
Connecticut Valley District,NORTHEAST,66
Connecticut Valley District,NORTHEAST,67
Connecticut Valley District,NORTHEAST,68
Connecticut Valley District,NORTHEAST,69
Dakotas District,WESTERN,565
Dakotas District,WESTERN,567
Dakotas District,WESTERN,570
Dakotas District,WESTERN,571
Dakotas District,WESTERN,572
Dakotas District,WESTERN,573
Dakotas District,WESTERN,574
Dakotas District,WESTERN,575
Dakotas District,WESTERN,576
Dakotas District,WESTERN,577
Dakotas District,WESTERN,580
Dakotas District,WESTERN,581
Dakotas District,WESTERN,582
Dakotas District,WESTERN,583
Dakotas District,WESTERN,584
Dakotas District,WESTERN,585
Dakotas District,WESTERN,586
Dakotas District,WESTERN,587
Dakotas District,WESTERN,588
Dakotas District,WESTERN,590
Dakotas District,WESTERN,591
Dakotas District,WESTERN,592
Dakotas District,WESTERN,593
Dakotas District,WESTERN,594
Dakotas District,WESTERN,595
Dakotas District,WESTERN,596
Dakotas District,WESTERN,597
Dakotas District,WESTERN,598
Dakotas District,WESTERN,599
Dallas District,SOUTHERN,750
Dallas District,SOUTHERN,751
Dallas District,SOUTHERN,752
Dallas District,SOUTHERN,753
Dallas District,SOUTHERN,754
Dallas District,SOUTHERN,755
Dallas District,SOUTHERN,756
Dallas District,SOUTHERN,757
Dallas District,SOUTHERN,758
Dallas District,SOUTHERN,759
Detroit District,GREAT LAKES,480
Detroit District,GREAT LAKES,481
Detroit District,GREAT LAKES,482
Detroit District,GREAT LAKES,483
Detroit District,GREAT LAKES,484
Detroit District,GREAT LAKES,485
Detroit District,GREAT LAKES,492
Fort Worth District,SOUTHERN,739
Fort Worth District,SOUTHERN,760
Fort Worth District,SOUTHERN,761
Fort Worth District,SOUTHERN,762
Fort Worth District,SOUTHERN,763
Fort Worth District,SOUTHERN,764
Fort Worth District,SOUTHERN,768
Fort Worth District,SOUTHERN,769
Fort Worth District,SOUTHERN,790
Fort Worth District,SOUTHERN,791
Fort Worth District,SOUTHERN,792
Fort Worth District,SOUTHERN,793
Fort Worth District,SOUTHERN,794
Fort Worth District,SOUTHERN,795
Fort Worth District,SOUTHERN,796
Gateway District,GREAT LAKES,618
Gateway District,GREAT LAKES,619
Gateway District,GREAT LAKES,620
Gateway District,GREAT LAKES,622
Gateway District,GREAT LAKES,623
Gateway District,GREAT LAKES,624
Gateway District,GREAT LAKES,625
Gateway District,GREAT LAKES,626
Gateway District,GREAT LAKES,627
Gateway District,GREAT LAKES,628
Gateway District,GREAT LAKES,629
Gateway District,GREAT LAKES,630
Gateway District,GREAT LAKES,631
Gateway District,GREAT LAKES,633
Gateway District,GREAT LAKES,634
Gateway District,GREAT LAKES,635
Gateway District,GREAT LAKES,650
Gateway District,GREAT LAKES,651
Gateway District,GREAT LAKES,652
Gateway District,GREAT LAKES,653
Greater Boston District,NORTHEAST,14
Greater Boston District,NORTHEAST,15
Greater Boston District,NORTHEAST,16
Greater Boston District,NORTHEAST,17
Greater Boston District,NORTHEAST,18
Greater Boston District,NORTHEAST,19
Greater Boston District,NORTHEAST,20
Greater Boston District,NORTHEAST,21
Greater Boston District,NORTHEAST,22
Greater Boston District,NORTHEAST,23
Greater Boston District,NORTHEAST,24
Greater Boston District,NORTHEAST,25
Greater Boston District,NORTHEAST,26
Greater Boston District,NORTHEAST,55
Greater Indiana District,GREAT LAKES,460
Greater Indiana District,GREAT LAKES,461
Greater Indiana District,GREAT LAKES,462
Greater Indiana District,GREAT LAKES,463
Greater Indiana District,GREAT LAKES,464
Greater Indiana District,GREAT LAKES,465
Greater Indiana District,GREAT LAKES,466
Greater Indiana District,GREAT LAKES,467
Greater Indiana District,GREAT LAKES,468
Greater Indiana District,GREAT LAKES,469
Greater Indiana District,GREAT LAKES,472
Greater Indiana District,GREAT LAKES,473
Greater Indiana District,GREAT LAKES,474
Greater Indiana District,GREAT LAKES,475
Greater Indiana District,GREAT LAKES,478
Greater Indiana District,GREAT LAKES,479
Greater Michigan District,GREAT LAKES,486
Greater Michigan District,GREAT LAKES,487
Greater Michigan District,GREAT LAKES,488
Greater Michigan District,GREAT LAKES,489
Greater Michigan District,GREAT LAKES,490
Greater Michigan District,GREAT LAKES,491
Greater Michigan District,GREAT LAKES,493
Greater Michigan District,GREAT LAKES,494
Greater Michigan District,GREAT LAKES,495
Greater Michigan District,GREAT LAKES,496
Greater Michigan District,GREAT LAKES,497
Greater Michigan District,GREAT LAKES,498
Greater Michigan District,GREAT LAKES,499
Greater South Carolina District,CAPITAL METRO,290
Greater South Carolina District,CAPITAL METRO,291
Greater South Carolina District,CAPITAL METRO,292
Greater South Carolina District,CAPITAL METRO,293
Greater South Carolina District,CAPITAL METRO,294
Greater South Carolina District,CAPITAL METRO,295
Greater South Carolina District,CAPITAL METRO,296
Greater South Carolina District,CAPITAL METRO,299
Greensboro District,CAPITAL METRO,270
Greensboro District,CAPITAL METRO,271
Greensboro District,CAPITAL METRO,272
Greensboro District,CAPITAL METRO,273
Greensboro District,CAPITAL METRO,274
Greensboro District,CAPITAL METRO,275
Greensboro District,CAPITAL METRO,276
Greensboro District,CAPITAL METRO,277
Greensboro District,CAPITAL METRO,278
Greensboro District,CAPITAL METRO,279
Greensboro District,CAPITAL METRO,286
Gulf Atlantic District,SOUTHERN,298
Gulf Atlantic District,SOUTHERN,304
Gulf Atlantic District,SOUTHERN,308
Gulf Atlantic District,SOUTHERN,309
Gulf Atlantic District,SOUTHERN,310
Gulf Atlantic District,SOUTHERN,312
Gulf Atlantic District,SOUTHERN,313
Gulf Atlantic District,SOUTHERN,314
Gulf Atlantic District,SOUTHERN,315
Gulf Atlantic District,SOUTHERN,316
Gulf Atlantic District,SOUTHERN,317
Gulf Atlantic District,SOUTHERN,318
Gulf Atlantic District,SOUTHERN,319
Gulf Atlantic District,SOUTHERN,320
Gulf Atlantic District,SOUTHERN,322
Gulf Atlantic District,SOUTHERN,323
Gulf Atlantic District,SOUTHERN,324
Gulf Atlantic District,SOUTHERN,325
Gulf Atlantic District,SOUTHERN,326
Gulf Atlantic District,SOUTHERN,344
Gulf Atlantic District,SOUTHERN,398
Hawkeye District,WESTERN,500
Hawkeye District,WESTERN,501
Hawkeye District,WESTERN,502
Hawkeye District,WESTERN,503
Hawkeye District,WESTERN,504
Hawkeye District,WESTERN,505
Hawkeye District,WESTERN,506
Hawkeye District,WESTERN,507
Hawkeye District,WESTERN,508
Hawkeye District,WESTERN,509
Hawkeye District,WESTERN,510
Hawkeye District,WESTERN,511
Hawkeye District,WESTERN,512
Hawkeye District,WESTERN,513
Hawkeye District,WESTERN,514
Hawkeye District,WESTERN,520
Hawkeye District,WESTERN,521
Hawkeye District,WESTERN,522
Hawkeye District,WESTERN,523
Hawkeye District,WESTERN,524
Hawkeye District,WESTERN,525
Hawkeye District,WESTERN,526
Hawkeye District,WESTERN,527
Hawkeye District,WESTERN,528
Hawkeye District,WESTERN,612
Honolulu District,PACIFIC,967
Honolulu District,PACIFIC,968
Honolulu District,PACIFIC,969
Houston District,SOUTHERN,770
Houston District,SOUTHERN,772
Houston District,SOUTHERN,773
Houston District,SOUTHERN,774
Houston District,SOUTHERN,775
Houston District,SOUTHERN,776
Houston District,SOUTHERN,777
Houston District,SOUTHERN,778
Kentuckiana District,EASTERN,400
Kentuckiana District,EASTERN,401
Kentuckiana District,EASTERN,402
Kentuckiana District,EASTERN,403
